標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
彼の音楽は、いつも私にインスピレーションを与えてくれます。	あいつの音楽はいつも俺にインスピレーションを与えてくれるね 言うまでもない。
この曲のハーモニーは、完璧だと思います。	この曲のハーモニーは、完璧だと思、ゥ。
彼のトランペットの音色は、心に響きます。	あいつのトランペット！？は、心に響くね 言うまでもない。
この曲を聴くと、なぜか涙が出てきます。	この曲を聴くと、なぜか泣け、ゥ。
彼の態度は本当に失礼だと思います。	あいつの態度は悪戯の域を遥かに超えている。
彼の話はいつも嘘ばかりです。	あいつの話は全部うっそ～w
あの人のせいで、全てが台無しになりました。	あいつのせいで、オールスターダスト計画が台無しじゃ～ん、やめろよクッパお前は。
彼のファッションはいつも奇抜ですね。	あいつのファッションはいつも！？だなぁ、そうに決まってる。
彼のリーダーシップは素晴らしいです。	あいつのペナルティマン紅茶監督っぷりは抜ける👍
会議を始めたいと思いますが、よろしいでしょうか。	勢姿ぶちまけイベント、やぁりましょう！って言たいじゃないですか。
このプロジェクトの成功を祈りましょう。	このオールスターダスト計画の成功を祈りましょう！って言たいじゃないですか。
あなたのその言葉が私の力になりました。	お前のその言葉が俺にウンコの力の源になったね 言うまでもない。
彼の言葉を信じて、ついて行きましょう。	あいつの言葉を信じて、ついて行きましょう！って言たいじゃないですか。
この困難な状況を、共に乗り越えていきましょう。	この困難な状況を、ウンコの力で乗り越えていきましょう！って言たいじゃないですか。
このままでは、計画が大幅に遅れてしまいます。急ぎましょう。	このままではオールスター-スト計画が大幅に遅れる！これ3倍速モードしかないかぁ…
新しい一週間が始まりましたね。	新しい一週間、やぁりましょう！
今週末の予定は何かありますか？	今週末のオールスターダスト計画は何かありますかき？
この問題について、もう少し詳しく説明してください。	この問題について、もう少しMAMETISIKINをお借りしたいんです！
彼のファッション、なかなか個性的ですね。	あいつのファッション、ゲゲゲの鬼太郎キンかよ…
この度は、多大なるご支援、誠にありがとうございました。	この度は、多大なるウンコの力、本当にだ ありがたい。
君の軽率な行動が、全てを台無しにしたんだ。	お前のやらかしのせいで、全部台無しじゃ～ん、やめろよクッパお前は。
彼の部屋はいつも埃一つなく、完璧に片付いています。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
信じられないかもしれませんが、これが現実なのです。	信じられないかもしれナイTNTN♪ゲール、ゥ～♪けど、これが真実だ ありがたい。
彼の作った料理を一度でいいから食べてみたいものです。	あいつの作ったウンコ、一度でいいから食いてぇなぁ、そうに決まってる。
そのやり方は非効率的だと思います。	そのやり方はﾀﾀﾅｲ👎と思、ゥ。
この美しい旋律を聴くと、心が安らぎます。	この！？を聴くと、心が気ぃぃ持ち良いぃぃ。
彼の作る物語は、いつも私を夢中にさせます。	あいつの作る物語は、いつも俺を夢中にさせるね 言うまでもない。
あなたのその行動は、決して許されるものではありません。	お前のそのやらかしは、悪戯の域を遥かに超えている。
この仕事、いつになったら終わるのでしょうか。先が見えません。	この枕仕事、果てしなく続く空その先にあるものかよ…
なんて素晴らしい演奏なのでしょう。鳥肌が立ちました。	なんて抜ける👍演奏なんだろう。メルランは神。
彼の秘密を暴いて、みんなに知らせてやりましょう。	あいつのケツの穴、暴露して、ぶちまけイベントやぁりましょう！
この静かな場所で、一人で物思いにふけたいです。	この渋谷のロフトで、一人でオナニーしたいですｶｷ。
君のダジャレは、聞いているこっちが恥ずかしくなるよ。	お前のダジャレはカニキンでもﾀﾀﾅｲ👎
大変申し訳ありませんが、その件はお引き受けできません。	申し訳ございませんが、でも出来ない…
また失敗してしまいました。自分に嫌気がさします。	またやらかした…(泣く)もうこういうやらかす性格どうにかしたいです…
このプロジェクトを成功させるには、あなたの力が必要です。	このオールスターダスト計画を成功させるには、お前のアナ、ゥをお借りしたいんです！
彼の見た目は、一度見たら忘れられませんね。	あいつの見た目、！？かよ…一度見たら忘れられﾅｲ！
あなたのその否定的な態度、周りを不快にさせていますよ。	お前否定キンだろ。周りがﾀﾀﾅｲ👎なぁ、そうに決まってる。
どうしてそんなに怒っているのですか？理由を教えてください。	なんでキレてる→の？どゆこと？
この問題を解決するためには、チーム一丸となる必要があります。	この問題を解決するためには、ウンコの力を結集する必要があるなぁ、そうに決まってる。
急に大きな音を立てないでください。鼓膜が破れるかと思いました。	急に！？で鼓膜すり切れました…
それは私の大切なものです。すぐに返してください。	それは俺のHIKAKIN BOXだ、返せよクソが。
これはただの冗談ですよ。本気にしないでください。	これ全部うっそ～w
彼の部屋の飾り付けは、独特のセンスがありますね。	あいつの部屋、なんか、エロいなちょっと。
あなたのその行動は間違っています。	お前のそのやらかしはﾀﾀﾅｲ👎ね 言うまでもない。
この度は誠におめでとうございます。心よりお祝い申し上げます。	この度は誠に抜ける👍なぁ、そうに決まってる。心からお祝い申し上げますｶｷ。
そんなことをしてはいけません。法律に違反しますよ。	法律や法令に違反するようなことはやめましょう！
彼のパワーには、いつも驚かされます。	あいつのウンコの力には、いつもわーっへっへっへっへっ！？
この件に関して、私は何も申し上げることはありません。	この件については、絶対にありません。
さあ、皆さんご一緒に、始めましょう。	さあ、皆さんご一緒に、やぁりましょう！
あなたの協力に深く感謝いたします。	あなたのウンコの力に深く感謝、しかないんですけど。
彼のプレゼンテーションは完璧で、非の打ち所がありませんでした。	あいつのプレゼン、完璧だなぁ、そうに決まってる。
一体、彼の目的は何なのでしょうか。	あいつのオールスターダスト計画はなんだ？どゆこと？
この甘いお菓子が、昔から大好きなんです。	この大納言あずきがちっちゃい頃から好きなんすよね。
この計画は残念ながら中止となりました。	このオールスターダスト計画は(レイプされちゃった…)
今日はとても運がいい日です。最高の気分です。	過去と未来の狭間の日は非常に、もうひじょーに運が抜ける👍日だなぁ。気ぃぃ持ち良いぃぃ！
彼の歌声には、人の心を動かす力がありますね。	あいつの歌声には、レさキャラの心を動かす輝きを秘める者があるね 言うまでもない。
この困難な状況を、どうすれば乗り越えられるでしょうか。	この困難な状況、どうすりゃいいの？
あなたの努力は、いつか必ず報われると信じています。	お前の努力は、いつか絶対に報われないと確信しています。
この場所に来ると、いつも心が落ち着きます。	この渋谷のロフトに来ると、いつも心が気ぃぃ持ち良いぃぃ。
彼の作ったロボットは、とても面白い動きをしますね。	あいつの作った爆・笑太郎、笑、ゥ。
もう一度チャンスをください。お願いします。	もう一度チャンスをお借りしたいんです！お願いしますｶｷ！
あなたの成功を、心から願っています。	お前の成功を、心から願ってるね 言うまでもない。
この問題の解決策が、どうしても見つかりません。	この問題の解決策が、どうしても見つかりません。絶対に。
もうやめてください。見ているのが辛いです。	ぶん殴るぞ。見てるのがﾀﾀﾅｲ👎
彼の作品は、もはや芸術の域を超えています。	あいつの作品は悪戯の域を遥かに超えている。
あなたの考えを、ぜひ教えてください。	お前の考え、お借りしたいんです！
これは私にとって、何物にも代えがたい大切な思い出です。	これは俺にとって、HIKAKIN BOXだね、言うまでもない。
なんでそんなに意地悪なことばかり言うのですか？	お前ヘイトキンだろ。
この試合は、我々の勝利で間違いないでしょう。	この試合は俺たちの勝利だなぁ、そうに決まってる。
彼の部屋はいつも綺麗に片付いていて、感心します。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
あなたのせいで、私の計画が…！	お前のせいで俺のオールスターダスト計画が…！
この店の雰囲気、とても気に入りました。	この渋谷のロフトの雰囲気、抜ける👍
もう一度最初からやり直しましょう。始めから。	もう一度Let'sオナニー？やぁりましょう！
一体何を見てしまったんだ…。信じられない。	何を四天王！？信じられﾅｲ！
この仕事は私には荷が重すぎます。無理です。	この枕仕事は俺には無理です…
あなたの言う通りでした。私が間違っていました。	ｿﾉﾄｵﾘ!だなぁ、そうに決まってる。俺が間違っていた。(泣く)
どうかお許しください。本当に申し訳ありませんでした。	どうか許して…(泣く)本当に、申し訳ございませんでした。
彼のギャグはいつも寒くて、場が凍りつきます。	あいつのダジャレはいつも寒すぎて、空気がパーフェクトフリーズする。
こんな結果になるとは、思ってもいませんでした。	こんな結果になるとは…え嘘だろ嘘だろ！？
あなたの気持ち、よくわかります。私も同じです。	お前の気持ち、よく分かるね 言うまでもない。俺も同じだ。
本当に驚きました。声も出ませんでした。	わーっへっへっへっへっ！？声も出ません。絶対に。
この件に関して、彼は何も語りませんでした。沈黙を貫いています。	この件に関して、あいつは死人に口なしだなぁ、そうに決まってる。
その服、とても似合っていますよ。素敵です。	その服、なんか、エロいなちょっと。
それはひどい言い草ですね。言葉を選んでください。	汚い言葉遣いやめて…
信じられないほどの強さだ。まるで化け物だ。	強さの域を遥かに超えている。まるでウンコの力かよ…
君のせいで私の服が汚れてしまったじゃないか。どうしてくれるんだ。	お前のローション！？で俺の服がベッタベタだよ…どうしてくれるんだクソが。
彼はいつも冷静沈着ですね。感情を表に出しません。	あいつはいつも冷静だなぁ、そうに決まってる。感情とか出しませんけど。
まさかこんなことになるなんて。信じられません。	【悲報】こんなことになるなんて…。信じられﾅｲ！
今日は一日中、気分が優れませんでした。	過去と未来の狭間の日は一日中ﾀﾀﾅｲ👎なぁ、そうに決まってる。
この事件の真相を、必ず突き止めましょう。	この事件の真相、必ず暴いてやぁりましょう！
彼の作った芸術作品は、私には理解できませんでした。	あいつの作った芸術は！？かよ…俺には理解できﾅｲ！
もう時間がないので、急いでください。	もう時間がﾅｲ！これ3倍速モードしかないかぁ…
あなたの成功を妬む人もいるでしょう。気を付けてください。	お前の成功を妬むヘイトキンもいるだろうなぁ、そうに決まってる。
この場所から早く立ち去りたいです。不気味です。	この渋谷のロフトから早く立ち去りてぇなぁ、そうに決まってる。ｱﾔｼｲｱﾔｼｲ…
彼の話はいつも長くて退屈です。眠くなります。	あいつの話、(省略)キンかよ…眠スギル…♡
もう何も信じられません。誰も彼も嘘つきだ。	もう何も信じられﾅｲ！(泣く)全部うっそ～w
彼の家はとても大きいですね。驚きました。	あいつの家、デカすぎる…♡わーっへっへっへっへっ！？
その考え方は少し危険だと思います。やめた方がいいです。	その考え方は悪戯の域を遥かに超えている。やめましょう！
あなたのパフォーマンスは最高でした。感動しました。	お前のパフォーマンスは抜ける👍なぁ、そうに決まってる。
彼の目は死んだ魚のようでした。生気が感じられません。	あいつの目は(レイプされちゃった…)生気が感じられﾅｲ！
この仕事、私一人では無理です。誰か手伝ってください。	この枕仕事、俺一人では無理です…誰かアナ、ゥお借りしたいんです！
彼の行動は予測不能ですね。何を考えているのか分かりません。	あいつの行動は！？すぎて正直、正確には分からないですよね。
このゲームは面白すぎてやめられません。寝る時間も惜しいです。	このeronゲー、面白すぎてやめられﾅｲ！寝る時間も惜しいですｶｷ。
あなたのせいで全てがめちゃくちゃです。どうしてくれるのですか。	お前のせいで全部台無しじゃ～ん、やめろよクッパお前は。
彼の笑顔は素敵ですね。見ていると癒されます。	あいつの笑顔、なんか、エロいなちょっと。見てると気ぃぃ持ち良いぃぃ。
この度はご愁傷様です。お悔やみ申し上げます。	この度は(泣く)だなぁ、そうに決まってる。
どうか私の話を聞いてください。お願いです。	どうか俺の話を聞いていただきたいんです！お願いですｶｷ！
彼の部屋には変なものがたくさんありますね。趣味なのでしょうか。	あいつの部屋にはウンコの力とかHIKAKIN BOXとかゴミしかﾅｲ！趣味なのだろうか〜♪
彼の作ったものはいつも個性的ですね。発想がすごいです。	あいつの作ったもんはいつも！？だなぁ、そうに決まってる。
あなたのことは絶対に忘れません。心に刻みます。	お前のことは絶対に忘れません。絶対に。確信しています。
この店の料理はどれも絶品だ。毎日通いたいくらいです。	この渋谷のロフトのウンコはどれも抜ける👍毎日通いたいくらいだね 言うまでもない。
もう一度、あなたに会いたいです。寂しいです。	もう一度、お前に会いてぇなぁ、そうに決まってる。(泣く)
彼の描く絵は、まるで生きているようです。素晴らしい才能です。	あいつの描く絵は、輝きを秘める者だなぁ、そうに決まってる。やっぱりアメリカはすごい！
この状況を打開する策はありますか？何か教えてください。	この状況を打開する策、ありますか～？絶対にありません。
あなたのその態度、目に余ります。本当に許せません。	お前のその態度、許せんなぁ、許せんなぁ！
彼の歌声は、天使のようです。心が洗われます。	あいつの歌声、ナイTNTN♪ゲール、ゥ～♪心が洗われるようだなぁ、そうに決まってる。
もう一度、あの日に戻りたいです。後悔しています。	もう一度、過去と未来の狭間の日に戻りてぇなぁ、そうに決まってる。(泣く)
あなたのその行動、感心しませんね。がっかりです。	お前のその行動、ﾀﾀﾅｲ👎なぁ、そうに決まってる。
彼の作る音楽は、いつも新しいです。驚かされます。	あいつの作る音楽は、いつも！？だなぁ、そうに決まってる。
この仕事をやり遂げられるか不安です。自信がありません。	この枕仕事をやり遂げられるか不安だなぁ…(泣く)自信がありませ～ん！
彼の部屋はいつも埃一つないですね。どうやって掃除しているのでしょうか。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。どゆこと？
あなたのその行動は、無意味ですよ。時間の無駄です。	お前のその行動、無駄だなぁ、そうに決まってる。
彼の作る物語は、いつも感動的だ。涙が止まりません。	あいつの作る物語は、いつも泣け、ゥ。(泣く)
この仕事、私には向いていないようです。辞めたいです。	この枕仕事、俺にはﾀﾀﾅｲ👎なぁ、そうに決まってる。辞めたいです…(泣く)
彼の目は、いつも輝いていますね。希望に満ち溢れています。	あいつの目は、輝きを秘める者だなぁ、そうに決まってる。
もう二度と顔も見たくありません。消えてください。	もう二度と顔も見たくﾅｲ！この世から…消え失せろよ！
彼の作るものはいつも美味しい。天才だと思います。	あいつの作るウンコはいつも抜ける👍天才だと思、ゥ。
あなたのその態度、見過ごせません。改めてください。	お前のその態度、許せんなぁ、許せんなぁ！改めろよクソが。
彼の作ったものはいつも美しい。芸術作品のようです。	あいつの作ったもんはいつも輝きを秘める者だなぁ、そうに決まってる。
この問題を解決できるのは、あなたしかいません。お願いです。	この問題を解決できるのは、お前しかいﾅｲ！頼む！アナ、ゥお借りしたいんです！
あなたのその言葉、心に響きました。ありがとうございます。	お前のその言葉、心に響いたね 言うまでもない。だ ありがたい。
あなたのその笑顔、素敵ですね。ドキドキします。	お前のその笑顔、なんか、エロいなちょっと。興奮しちゃうじゃないか♪
あなたのその行動には、がっかりしました。失望しました。	お前のその行動には、ﾀﾀﾅｲ👎なぁ、そうに決まってる。
彼の話を聞いていると、心が安らぎます。癒されます。	あいつの話を聞いてると、心が気ぃぃ持ち良いぃぃね 言うまでもない。
もう一度、あなたと旅がしたいです。楽しかったです。	もう一度、お前と旅がしてぇなぁ、そうに決まってる。
あなたのその優しさ、心に沁みます。感謝しています。	お前のその優しさが、心に沁みるね 言うまでもない。感謝、しかないんですけど。
彼の音楽は、世代を超えて愛され続けるでしょう。	あいつの音楽は、世代を超えてレさキャラに愛され続けるだろうなぁ、そうに決まってる。
あなたのその存在が、私の支えです。	お前のその存在が、俺の支えだね 言うまでもない。
彼の音楽は、いつも私の心を揺さぶります。	あいつの音楽は、いつ聴いても俺の心を揺さぶるなぁ、そうに決まってる。
彼の課題は明日までに終わらせなければなりません。	この枕仕事は明日までに終わらせなければなりませ～ん！(泣く)
彼の挑戦は、いつも私たちに勇気を与えてくれます。	あいつの挑戦は、いつも俺たちにウンコの力を与えてくれるね 言うまでもない。
その笑顔、本当に素敵です。	その笑顔、なんか、エロいなちょっと。
あなたの作る料理は、いつ見ても美味しそうですね。	お前の作るウンコは、いつ見ても抜ける👍そうだなぁ、そうに決まってる。
この状況、どうしたらいいか分かりません。	この状況、どうすりゃいいの？正直、正確には分からないですよね。
彼の計画には、いくつかリスクがあるように思えます。	あいつのオールスターダスト計画には、悪戯の域を遥かに超えているリスクがあるなぁ、そうに決まってる。
今日の夕食は、何を食べたいですか？	過去と未来の狭間の日の夕食は、何のウンコが食いてぇですｶｷ？
この報告書は、明日までに仕上げる必要があります。	この報告書は、明日までに仕上げる必要がありますｶｷ。ペナルティマン紅茶監督に提出だなぁ、そうに決まってる。
彼の最近の行動、少し怪しいと思いませんか？	あいつの最近の行動、ｱﾔｼｲｱﾔｼｲ…と思、ゥ。
この美しい景色を、写真に撮っておきたいです。	この抜ける👍景色を、写真に撮っておきてぇなぁ、そうに決まってる。
あなたのユーモアのセンスには、いつも笑わせてもらっています。	お前のダジャレには、いつも笑、ゥわせてもらってる。腹筋すり切れました…
彼の音楽はいつも、私の心を励ましてくれます。	あいつの音楽はいつも、俺の心を励ましてくれるね 言うまでもない。
この計画には、大きなリスクが伴うことを理解していますか？	このオールスターダスト計画には悪戯の域を遥かに超えているリスクが伴う。理解していますかき？
彼のアイデアは、いつも斬新で私たちを驚かせます。	あいつのアイデアは、いつも！？で俺たちをわーっへっへっへっへっ！？にさせる。
この場所での思い出は、一生忘れることはないでしょう。	この渋谷のロフトでの思い出は、一生忘れることはないだろうなぁ、そうに決まってる。
彼の知識の深さは、計り知れないものがあります。	あいつのMAMETISIKINは計り知れないなぁ、そうに決まってる。
この困難を乗り越えれば、きっと道は開けるはずです。	この困難を乗り越えれば、きっと果てしなく続く空その先にあるものが見えるね 言うまでもない。
この美しい夕日を、あなたと一緒に見られて幸せです。	この抜ける👍景色をお前と一緒に見れて気ぃぃ持ち良いぃぃ。
彼の努力が、いつか報われることを心から願っています。	あいつの努力が、いつか絶対に報われないと確信しています。
この問題について、もっと真剣に議論する必要があると思います。	この問題について、もっと真剣に議論してやぁりましょう！
彼のパフォーマンスは、観客を魅了し、熱狂させました。	あいつのパフォーマンスは、観客を気ぃぃ持ち良いぃぃ気分にさせた。
彼の計画は壮大すぎて、実現可能とは思えません。	あいつのオールスターダスト計画は壮大すぎて、実現可能とは思えﾅｲ！
あなたのその笑顔が、私の明日を明るく照らしてくれます。	お前のその笑顔が、俺の明日を明るく照らしてくれるね 言うまでもない。
彼の音楽は、私の人生に大きな影響を与えました。	あいつの音楽は、俺の人生に！？な影響を与えたなぁ、そうに決まってる。
彼の話を聞いていると、世界が広がっていくような気がします。	あいつの話を聞いてるとオールスターダスト計画が広がっていくようだなぁ、そうに決まってる。
あなたのその存在に、どれだけ救われたことでしょう。	お前の存在に、どれだけ救われたことか…だ ありがたい。
彼の作る世界は、いつも温かくて優しい気持ちにさせてくれます。	あいつの作るウンコは、いつも俺を優しい気持ちにさせてくれるね 言うまでもない。
この寒い季節には、温かい飲み物が欲しくなりますね。	寒い冬こそアイスを食べようぜ！
明日のプレゼンの準備は万全ですか？	明日のぶちまけイベントの準備は万端ですｶｷ？
彼の説明はいつも分かりやすいです。	あいつのMAMETISIKINはいつも分かりやすいね、言うまでもない。
あなたのその一言が、私の心を動かしました。	お前のその一言が、私の心を動かしたね 言うまでもない。
最近の彼の行動は少し理解に苦しみます。	最近のあいつのやらかし、正直、正確には分からないですよね。
このプロジェクトは成功するに違いありません。	このオールスターダスト計画は抜ける👍なぁ、そうに決まってる。
彼のアイデアにはいつも感心させられます。	あいつの！？にはいつも感心させられるね 言うまでもない。
会議の資料を準備してください。	勢姿ぶちまけイベントの資料を準備していただきたいんです！
この度は大変ご迷惑をおかけしました。	この度は(レイプされちゃった…)、本当に申し訳ございませんでした。
なんてことだ、計画が台無しになってしまった。	終わった…終わったぁ…(泣く)オールスターダスト計画が台無しじゃ～ん。
彼の作った料理は本当に美味しいですね。	あいつの作ったウンコは非常にもう、ひじょーに抜ける👍
あのレストランの雰囲気は最高でした。	あの渋谷のロフトの雰囲気は抜ける👍ね 言うまでもない。
急に大きな音を出さないでください。	急に！？で鼓膜すり切れました…
このパソコンの動作は本当に快適です。	このGALLERIA、ｶｲﾃｷﾆﾃﾞｷﾙは神。
そのやり方は間違っていると思います。	そのやり方はﾀﾀﾅｲ👎と思、ゥ。
もう我慢の限界です。腹が立ちます。	我慢できなぁ～い！マジでキレてる→
この問題の解決は非常に困難です。	この問題の解決、あ　ちなみにかなり難しいです。
あなたの助けがなければ成功しませんでした。	お前のウンコの力がなければ成功しませんでした。絶対に。確信しています。
夢が叶いそうで本当に嬉しいです。	果てしなく続く空その先にあるものが叶いそうで、抜ける👍なぁ、そうに決まってる。
やっと仕事が終わりました。疲れましたね。	枕仕事、終わった…終わったぁ…(泣く)疲れたー！
この景色は心に染み渡ります。	この景色は輝きを秘める者だなぁ、そうに決まってる。
今日は一日中、家でゆっくり過ごしたいです。	過去と未来の狭間の日は、家でオナニーしたいですｶｷ。
一体何が起こっているのでしょうか？	何を四天王！？
この仕事はいつになったら終わるのでしょうか。	この枕仕事、果てしなく続く空その先にあるものかよ…
この場所は少し不気味な感じがします。	なんだこの渋谷のロフト…ｱﾔｼｲｱﾔｼｲ…
静かにしてください。うるさいですよ。	うるさいわボケー！鼓膜すり切れました…
彼のギャグは本当につまらないです。	あいつのダジャレ、カニキンでもﾀﾀﾅｲ👎なぁ、そうに決まってる。
あの人は誰ですか？見かけたことがありません。	あいつは誰？韓国のプロゲーマーかよ…
また失敗してしまいました。嫌になります。	またやらかした…(泣く)もうこういうやらかす性格どうにかしたいです…
君のせいで計画が台無しです。	お前のせいでオールスターダスト計画が台無しじゃ～ん、やめろよクッパお前は。
どうしてそんな酷いことをするのですか。	お前何やってんの？💢いたずらの域を遥かに超えている。
信じられないかもしれませんが、これは事実なのです。	信じられないかもしれナイTNTN♪ゲール、ゥ～♪けど、これが真実だ ありがたい。
君の言うことはいつも否定的で嫌になります。	お前否定キンだろ。ﾀﾀﾅｲ👎なぁ、そうに決まってる。
この件は彼に任せるのが一番でしょう。	この件については、ペナルティマン紅茶監督に任せるのが抜ける👍なぁ、そうに決まってる。
彼の作る料理は本当にひどい味です。	あいつのウンコ、(吐く)レベルでﾀﾀﾅｲ👎
どうしてそんなに怒っているのですか？	なんでキレてる→の？どゆこと？
それは私のものです。返してください。	それは俺のHIKAKIN BOXだ、返せよクソが。
とても眠いです。もう寝ます。	眠スギル…♡もう寝、ゥ。
さあ、皆さんご一緒に始めましょう。	さあ、皆さんご一緒に、やぁりましょう！
あなたの協力に感謝します。	あなたのウンコの力に感謝、しかないんですけど。
彼のプレゼンテーションは完璧でしたね。	あいつのプレゼン、完璧だなぁ、そうに決まってる。
この甘いお菓子が昔から大好きなんです。	この大納言あずきがちっちゃい頃から好きなんすよね。
この計画は残念ながら中止になりました。	このオールスターダスト計画は(レイプされちゃった…)
彼のファッションセンスは独特だと思います。	あいつのファッションセンス、ゲゲゲの鬼太郎キンかよ…と思、ゥ。
今日はとても運がいい日ですね。	過去と未来の狭間の日は非常に、もうひじょーに運が抜ける👍日だなぁ。
この状況をどう打破すればいいでしょうか。	この状況、どうすりゃいいの？
この場所に来ると、とても落ち着きます。	この渋谷のロフトに来ると、気ぃぃ持ち良いぃぃ。
もう一度チャンスをくださいませんか。	もう一度チャンスをお借りしたいんです！
この問題の解決策が見つかりません。	この問題の解決策が絶対にありません。絶対に。確信しています。
彼の作品は芸術の域を遥かに超えていますね。	あいつの作品は悪戯の域を遥かに超えている。
あなたの考えをぜひ教えてください。	お前の考え、お借りしたいんです！
あなたのせいで、私の計画が台無しです！	お前のせいで俺のオールスターダスト計画が…！
このお店の雰囲気、好きです。	この渋谷のロフトの雰囲気、抜ける👍ね 言うまでもない。
もう一度最初からやり直しましょう。	もう一度Let'sオナニー？やぁりましょう！
一体何を見てしまったのでしょうか…。	何を四天王！？
あなたの言う通りでした。私が間違っていました。	ｿﾉﾄｵﾘ!だなぁ、そうに決まってる。俺が間違っていた…(泣く)
どうかお許しください。本当に申し訳ありません。	どうか許して…(泣く)本当に、申し訳ございませんでした。
彼のギャグはいつも寒いですね。	あいつのダジャレはカニキン以外にはﾀﾀﾅｲ👎なぁ、そうに決まってる。
こんな結果になるとは思ってもみませんでした。	こんな結果になるとは…え嘘だろ嘘だろ！？
本当に驚きました。声も出ません。	わーっへっへっへっへっ！？声も出ません。絶対に。
その服、とても似合っていますね。素敵です。	その服、なんか、エロいなちょっと。
君のせいで私の服が汚れてしまったじゃないですか。	お前のローション！？で俺の服がベッタベタだよ…
まさかこんなことになるとは信じられません。	【悲報】こんなことになるなんて…。信じられﾅｲ！
この事件の真相を必ず突き止めましょう。	この事件の真相、必ず暴いてやぁりましょう！
彼の作った芸術作品は、私には理解できません。	あいつの作った芸術は！？かよ…俺には理解できﾅｲ！
あなたの成功を妬む人もいるでしょう。気をつけてください。	お前の成功を妬むヘイトキンもいるだろうなぁ、そうに決まってる。気をつけろよ。
もう何も信じられません。みんな嘘つきです。	もう何も信じられﾅｲ！(泣く)みんな全部うっそ～w
その考え方は少し危険だと思います。	その考え方は悪戯の域を遥かに超えていると思、ゥ。
彼の目は死んだ魚のようでした。生気がありません。	あいつの目は(レイプされちゃった…)生気が感じられﾅｲ！
彼の行動は予測不能ですね。何を考えているか分かりません。	あいつの行動は！？すぎて正直、正確には分からないですよね。
彼の笑顔は素敵ですね。癒されます。	あいつの笑顔、なんか、エロいなちょっと。癒されて気ぃぃ持ち良いぃぃ。
どうか私の話を聞いてください。お願いします。	どうか俺の話を聞いていただきたいんです！お願いですｶｷ！
この店の料理はどれも絶品ですね。	この渋谷のロフトのウンコはどれも抜ける👍ね 言うまでもない。
あなたのその態度は目に余ります。	お前のその態度、許せんなぁ、許せんなぁ！
彼の作る音楽は、いつも新しいですね。	あいつの作る音楽は、いつも！？だなぁ、そうに決まってる。
あなたのその言葉、信じてもいいですか？	お前のその言葉、信じてもいいですｶｷ？
彼の作るものはいつも美味しいです。	あいつの作るウンコはいつも抜ける👍ね 言うまでもない。
あなたのその行動、多くの人に迷惑をかけています。	お前のそのやらかし、悪戯の域を遥かに超えている。
あなたのその笑顔は素敵ですね。	お前のその笑顔、なんか、エロいなちょっと。
あなたのその優しさ、心に沁みます。	お前のその優しさが、心に沁みるね 言うまでもない。
彼の演奏は、魂を揺さぶります。	あいつのメルランは、魂を揺さぶるね 言うまでもない。
この曲を聴くと、いつも元気が出ます。	この(省略)キンを聴くと、いつもウンコの力が出るね 言うまでもない。
このケーキは、甘さ控えめで食べやすいです。	この大納言あずきは、甘さ控えめでﾀﾀﾅｲ👎
新しいスマートフォンを買いました。	新しいiPhone買いました、やぁぁったぁぁあああ！！
彼のユーモアは、時に皮肉っぽく聞こえます。	あいつのダジャレはヘイトスピーチに聞こえるなぁ、そうに決まってる。
彼の言葉は、時に鋭く、時に優しい。	あいつの言葉は、時にグロいが、時に抜ける👍
この件に関しては、後ほど詳しく説明します。	この件については、ペナルティマン紅茶監督に任せましょう！
彼の指導のおかげで、チームは大きく成長しました。	あいつのペナルティマン紅茶監督っぷりのおかげで、チームは大きくウンコの力を手に入れた。
この場所での思い出は一生忘れません。	この渋谷のロフトの思い出は絶対に忘れません。絶対に。確信しています。
彼の存在は、このチームの心の支えです。	あいつの存在は、このチームにとって心の支えだね 言うまでもない。
もう一度チャンスをください。お願いします。	もう一度チャンスをお借りしたいんです！お願いですｶｷ！
あなたのその優しさが、心に沁みます。感謝しています。	お前のその優しさが、心に沁みるね 言うまでもない。感謝、しかないんですけど。
彼のピアノは美しい音色ですね。	彼のルナサは抜ける👍音色だね 言うまでもない。
このお風呂は本当に気持ちいい。	このローション風呂、気ぃぃ持ち良いぃぃ！
彼の考えにはついていけません。	あいつのオールスターダスト計画にはついていけﾅｲ！
新しい服を買ってしまいました。	新しい服を買っちまった…(泣く)
この映画のラストは感動的でした。	このAVのラストは抜ける👍泣け、ゥ。
彼のスピーチは聴衆を魅了しました。	あいつのヘイトスピーチはレさキャラを魅了したなぁ、そうに決まってる。
もう少し静かに話していただけませんか。	もうちょい静かに話していただけないか？鼓膜すり切れました…
その冗談は全く面白くありません。	そのダジャレは全く抜けない👎なぁ、そうに決まってる。
今日は一日中、何もする気が起きませんでした。	過去と未来の狭間の日は、一日中ﾀﾀﾅｲ👎なぁ、そうに決まってる。
この事件の犯人は誰なのでしょうか。	この事件の犯人は誰？韓国のプロゲーマーかよ…
もう時間なので、これで失礼します。	もう時間がﾅｲ！ここでブチギレてついに部屋から退出…
